scenario,echelle,nombre moyen de cellules sélectionnées par simulations,ecart-type du nombre des cellules sélectionnées par simulations,coeff de variation du nombre de cellules sélectionnées par simulations,repet de 0 a 100,repet de 100 a 200,de 200 a 300,de 300 a 400,de 400 a 500,de 500 a 600,de 600 a 700,de 700 a 800,de 800 a 900,de 900 a 999,1000 repet (allstar),moyenne evaluation des cellules instables,ecart type des cellules instables,coefficient de variation des cellules instables,moyenne evaluation des cellules stables,ecart type des cellules stables,coefficient de variation des cellules stables,null,
emprise-Data1.0,20.0,91763.116,1.041935520859926,1.1354622273942027E-5,2745.0,3752.0,2784.0,2312.0,1775.0,1405.0,1007.0,732.0,626.0,655.0,85620.0,0.3795840974436747,0.048784344758020695,0.1285205178155801,0.45116934622473653,0.10492535172567752,0.23256312203757765,0.0,
emprise-Data1.0,60.0,15971.0,0.0,0.0,85.0,198.0,189.0,219.0,228.0,163.0,179.0,91.0,49.0,88.0,15311.0,0.37578515795511724,0.05118717291151108,0.1362139292303416,0.4554146014698484,0.10220388401786284,0.2244194272383896,0.0,
emprise-Data1.0,180.0,2459.0,0.0,0.0,0.0,3.0,0.0,14.0,27.0,24.0,5.0,3.0,2.0,0.0,2421.0,0.42503218047129804,0.08333188705486244,0.19606018293123043,0.48157612962793683,0.10174101578775226,0.21126673339552113,0.0,
