diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
moncey,941.0,0.0,941.0,0.40960456613019725,4.0,
cromary,1010.0,0.0,1010.0,0.3587246734316986,4.0,
aulx-ls-cromary,368.0,0.0,368.0,0.42373051850692084,4.0,
pin,2433.0,0.0,2433.0,0.3907215072939144,4.0,
la tour-de-say,529.0,0.0,529.0,0.45924547624497875,4.0,
pouilley-franais,460.0,0.0,460.0,0.40834718787151836,3.0,
chaux-la-lotire,818.0,0.0,818.0,0.4581934921898877,4.0,
audeux,593.0,0.0,593.0,0.4646624457373788,4.0,
chemaudin,1044.0,0.0,1044.0,0.5272917765767181,3.0,
ecole-valentin,401.0,0.0,401.0,0.683810493298005,3.0,
gzier-et-fontenelay,3178.0,0.0,3178.0,0.3849334044603524,4.0,
villers-buzon,173.0,0.0,173.0,0.31286405001072526,4.0,
dannemarie-sur-crte,568.0,0.0,568.0,0.5934845830353213,3.0,
cordonnet,53.0,0.0,53.0,0.4748158724802845,4.0,
auxon-dessous,778.0,0.0,778.0,0.4250739325594473,3.0,
mrey-vieilley,233.0,0.0,233.0,0.4928387817906719,4.0,
mazerolles-le-salin,612.0,0.0,612.0,0.4245665805791718,4.0,
trpot,898.0,0.0,898.0,0.44396581840939936,4.0,
saone,1972.0,0.0,1972.0,0.5132339817998859,3.0,
vaux-les-pres,554.0,0.0,554.0,0.44662478340231554,4.0,
