scenario,echelle,nombre moyen de cellules sélectionnées par simulations,ecart-type du nombre des cellules sélectionnées par simulations,coeff de variation du nombre de cellules sélectionnées par simulations,repet de 0 a 100,repet de 100 a 200,de 200 a 300,de 300 a 400,de 400 a 500,de 500 a 600,de 600 a 700,de 700 a 800,de 800 a 900,de 900 a 999,1000 repet (allstar),moyenne evaluation des cellules instables,ecart type des cellules instables,coefficient de variation des cellules instables,moyenne evaluation des cellules stables,ecart type des cellules stables,coefficient de variation des cellules stables,null,
newRoad-Data2,20.0,44976.0,0.0,0.0,44976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680055993447118,0.09924722842533497,0.21206419018126735,NaN,NaN,NaN,0.0,
newRoad-Data2,20.0,44976.0,0.0,0.0,44976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680055993447118,0.09924722842533497,0.21206419018126735,NaN,NaN,NaN,0.0,
