scenario,echelle,nombre moyen de cellules sélectionnées par simulations,ecart-type du nombre des cellules sélectionnées par simulations,coeff de variation du nombre de cellules sélectionnées par simulations,repet 1,repet 2,repet 3,repet 4,repet 5,repet 6,repet 7,repet 8,repet 9,repet 10,null,moyenne evaluation des cellules instables,ecart type des cellules instables,coefficient de variation des cellules instables,moyenne evaluation des cellules stables,ecart type des cellules stables,coefficient de variation des cellules stables,null,
diffDonnee,20.0,46128.0,1189.353605955773,0.025783767038583354,65338.0,13459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45805701040510916,0.10537790085208511,0.23005411653647234,NaN,NaN,NaN,0.0,
scenario,echelle,nombre moyen de cellules sélectionnées par simulations,ecart-type du nombre des cellules sélectionnées par simulations,coeff de variation du nombre de cellules sélectionnées par simulations,repet 1,repet 2,repet 3,repet 4,repet 5,repet 6,repet 7,repet 8,repet 9,repet 10,null,moyenne evaluation des cellules instables,ecart type des cellules instables,coefficient de variation des cellules instables,moyenne evaluation des cellules stables,ecart type des cellules stables,coefficient de variation des cellules stables,null,
diffDonnee,20.0,46128.0,1189.353605955773,0.025783767038583354,65338.0,13459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45805701040510916,0.10537790085208511,0.23005411653647234,NaN,NaN,NaN,0.0,
